Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form
Kayode,4,Defender,4.5,0.0,0.0,0.06,2,1.0
Eyestone,4,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Adingra,5,Midfielder,5.1,0.3,1.43,1.43,36,0.7
Baker-Boaitey,5,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Baleba,5,Midfielder,5.0,0.1,1.36,0.6,53,1.3
Barco,5,Defender,4.0,2.2,0.0,0.0,0,0.0
Cozier-Duberry,5,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Dahoud,5,Midfielder,4.9,0.0,0.0,0.0,0,0.0
Dunk,5,Defender,4.2,2.9,0.69,0.64,38,-0.3
Estupiñan,5,Defender,4.9,0.8,0.5,1.65,39,0.0
Gilmour,5,Midfielder,5.0,0.0,0.08,0.04,3,0.0
Gross,5,Midfielder,6.5,0.0,0.0,0.0,0,0.0
Hinshelwood,5,Midfielder,4.9,0.0,0.79,0.75,32,1.3
I.Osman,5,Midfielder,5.0,0.0,0.0,0.0,0,0.0
Igor,5,Defender,4.3,0.1,0.05,0.23,17,0.0
João Pedro,5,Forward,5.5,11.2,4.36,2.18,81,1.0
Kozlowski,5,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Lamptey,5,Defender,4.4,0.4,0.38,0.37,32,2.3
March,5,Midfielder,6.5,0.0,0.07,0.02,1,0.0
Mazilu,5,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Milner,5,Midfielder,5.0,0.0,0.16,0.15,5,0.0
Minteh,5,Midfielder,5.0,0.8,2.79,3.02,64,5.7
Mitoma,5,Midfielder,6.3,6.8,5.31,3.43,105,4.3
Moder,5,Midfielder,4.4,0.5,0.0,0.53,4,0.0
O’Mahony,5,Forward,4.5,0.2,0.0,0.0,0,0.0
Offiah,5,Defender,4.0,0.1,0.0,0.0,0,0.0
Peupion,5,Midfielder,4.4,0.1,0.0,0.0,0,0.0
Sarmiento,5,Midfielder,4.9,0.0,0.0,0.0,1,0.0
Steele,5,Goalkeeper,4.1,0.8,0.0,0.0,9,0.0
Undav,5,Forward,5.5,0.0,0.0,0.0,0,0.0
Van Hecke,5,Defender,4.5,0.9,0.75,1.06,59,2.3
Veltman,5,Defender,4.4,1.7,0.47,1.29,58,2.3
Verbruggen,5,Goalkeeper,4.5,2.7,0.0,0.01,71,3.3
Webster,5,Defender,4.3,0.1,0.02,0.07,15,2.3
Welbeck,5,Forward,5.5,6.0,6.08,0.93,83,3.7
Wieffer,5,Midfielder,4.7,0.1,0.5,0.18,28,0.0
Gruda,5,Midfielder,5.4,0.0,0.27,0.5,14,0.3
Ayari,5,Midfielder,5.0,0.0,1.49,1.86,37,1.0
Moran,5,Midfielder,5.0,0.0,0.0,0.0,0,0.0
Rushworth,5,Goalkeeper,3.9,0.0,0.0,0.0,0,0.0
Georginio,5,Midfielder,5.1,0.5,3.49,1.34,75,2.0
F.Kadıoğlu,5,Defender,4.4,0.1,0.44,0.31,19,0.0
O'Riley,5,Midfielder,5.5,0.0,1.15,1.24,25,1.0
Samuels,5,Defender,4.0,0.0,0.0,0.0,0,0.0
Cahill,5,Goalkeeper,3.9,1.2,0.0,0.0,0,0.0
McConville,5,Defender,4.0,0.0,0.0,0.0,0,0.0
Slater,5,Defender,4.0,0.0,0.0,0.0,0,0.0
Gómez,5,Midfielder,5.5,0.0,0.0,0.02,3,0.7
Hürzeler,5,Unknown,1.1,1.7,0.0,0.0,21,7.0
Knight,5,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Cashin,5,Defender,4.5,0.0,0.0,0.0,0,0.0
Andrey Santos,6,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Ângelo,6,Midfielder,4.5,0.1,0.0,0.0,0,0.0
B.Badiashile,6,Defender,4.2,0.1,0.0,0.06,5,0.0
Bergström,6,Goalkeeper,3.9,0.3,0.0,0.0,0,0.0
Bettinelli,6,Goalkeeper,3.9,0.4,0.0,0.0,0,0.0
Caicedo,6,Midfielder,4.9,1.1,0.55,1.72,64,1.3
Casadei,6,Midfielder,4.4,0.1,0.0,0.0,0,0.0
Chalobah,6,Defender,4.4,1.2,1.42,0.56,65,1.0
Chukwuemeka,6,Midfielder,4.7,0.0,0.0,0.0,0,0.0
Colwill,6,Defender,4.4,3.0,0.54,1.1,50,1.0
Cucurella,6,Defender,5.1,6.0,1.55,1.8,60,1.3
D.D.Fofana,6,Forward,5.4,0.1,0.0,0.0,0,0.0
Deivid,6,Forward,4.9,0.1,0.0,0.0,0,0.0
Dewsbury-Hall,6,Midfielder,5.5,0.1,0.22,0.19,12,0.3
Enzo,6,Midfielder,4.7,3.6,2.97,3.91,75,2.3
Gallagher,6,Midfielder,5.9,0.1,0.0,0.0,0,0.0
Gilchrist,6,Defender,4.0,0.0,0.0,0.0,0,0.0
Gusto,6,Defender,4.9,1.5,1.29,1.33,33,1.0
James,6,Defender,4.8,0.8,0.16,0.55,21,1.0
Kellyman,6,Midfielder,4.3,0.1,0.0,0.0,0,0.0
Lavia,6,Midfielder,4.5,0.4,0.18,0.3,15,0.0
Lukaku,6,Forward,6.3,0.2,0.0,0.0,0,0.0
M.Sarr,6,Defender,4.5,0.0,0.0,0.0,0,0.0
Madueke,6,Midfielder,6.1,3.9,7.58,2.23,100,4.0
Marc Guiu,6,Forward,4.7,0.5,0.0,0.02,3,0.3
Mudryk,6,Midfielder,6.1,0.2,0.24,0.66,7,0.0
N.Jackson,6,Forward,7.7,7.8,10.71,1.65,108,2.0
Nkunku,6,Midfielder,5.7,2.0,4.24,0.51,40,1.3
Palmer,6,Midfielder,11.2,61.9,11.98,7.01,175,3.3
Petrović,6,Goalkeeper,4.4,0.2,0.0,0.0,0,0.0
Renato Veiga,6,Midfielder,4.4,0.1,0.16,0.15,7,0.0
Sánchez,6,Goalkeeper,4.6,8.7,0.0,0.01,74,0.7
Tosin,6,Defender,4.2,0.3,0.79,0.11,32,0.7
W.Fofana,6,Defender,4.3,0.3,0.4,0.15,19,0.0
Sancho,6,Midfielder,6.2,1.0,1.5,2.25,59,1.7
Neto,6,Midfielder,6.2,0.6,1.28,2.09,49,3.3
Wiley,6,Defender,4.0,0.0,0.0,0.0,0,0.0
Jørgensen,6,Goalkeeper,4.2,0.4,0.0,0.0,10,1.7
João Félix,6,Midfielder,5.9,0.4,2.3,0.45,24,0.0
Rak-Sakyi,6,Midfielder,4.5,0.0,0.0,0.0,0,0.0
George,6,Midfielder,4.5,0.0,0.06,0.0,1,0.3
Acheampong,6,Defender,4.0,0.1,0.22,0.01,3,0.0
Maresca,6,Unknown,1.5,0.6,0.0,0.0,9,3.0
Amougou,6,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Anselmino,6,Defender,4.0,0.0,0.0,0.0,0,0.0
Nketiah,7,Forward,5.9,0.5,1.85,0.52,27,0.7
Chilwell,7,Defender,4.6,0.5,0.05,0.25,1,0.3
Ahamada,7,Midfielder,4.5,0.1,0.0,0.0,0,0.0
C.Doucouré,7,Midfielder,4.9,0.0,0.4,0.11,19,0.0
C.Richards,7,Defender,4.4,0.2,0.36,0.09,35,2.7
Chadi Riad,7,Defender,4.3,0.0,0.0,0.02,1,0.0
Clyne,7,Defender,4.3,0.1,0.01,0.13,16,0.3
Ebiowei,7,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Eze,7,Midfielder,6.7,7.6,4.98,2.97,75,1.3
Guéhi,7,Defender,4.6,8.6,1.5,1.09,89,3.7
Henderson,7,Goalkeeper,4.5,12.5,0.01,0.02,88,3.0
Holding,7,Defender,4.2,0.1,0.0,0.0,0,0.0
Hughes,7,Midfielder,4.9,0.1,0.82,1.81,48,2.0
Kamada,7,Midfielder,5.1,0.1,0.7,0.99,29,1.7
Lerma,7,Midfielder,4.8,0.0,0.78,1.29,32,2.0
Mateta,7,Forward,7.3,8.3,10.64,2.06,110,7.3
M.França,7,Midfielder,4.4,0.2,0.0,0.0,0,0.0
Matthews,7,Goalkeeper,3.9,0.6,0.0,0.0,0,0.0
Mitchell,7,Defender,4.8,1.9,0.63,2.89,79,2.7
Muñoz,7,Defender,4.8,7.7,3.53,2.27,89,5.3
Ozoh,7,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Rak-Sakyi,7,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Schlupp,7,Midfielder,4.6,0.1,0.17,0.14,12,0.0
Ward,7,Defender,4.3,0.1,0.0,0.0,0,0.0
Wharton,7,Midfielder,4.7,0.1,0.22,0.67,17,0.7
Turner,7,Goalkeeper,3.9,9.2,0.0,0.0,0,0.0
I.Sarr,7,Midfielder,5.6,1.9,4.64,4.19,84,2.3
Umeh-Chibueze,7,Midfielder,4.4,0.0,0.0,0.0,0,0.0
Devenny,7,Midfielder,4.5,0.1,0.49,0.31,20,0.7
Agbinone,7,Midfielder,4.5,0.0,0.02,0.01,2,0.0
Rodney,7,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Lacroix,7,Defender,4.5,0.8,2.02,0.54,76,3.7
Kporha,7,Defender,4.0,0.0,0.0,0.02,2,0.0
Marsh,7,Forward,4.5,0.3,0.0,0.0,0,0.0
Esse,7,Midfielder,5.0,0.1,0.32,0.0,8,2.7
Glasner,7,Unknown,0.8,0.9,0.0,0.0,12,4.0
Broja,8,Forward,5.4,0.1,0.11,0.09,5,0.0
A.Doucoure,8,Midfielder,5.1,0.3,1.79,0.73,51,2.5
Beto,8,Forward,4.9,2.8,3.49,0.07,50,7.8
Branthwaite,8,Defender,4.8,1.6,0.54,0.23,60,5.0
Calvert-Lewin,8,Forward,5.4,1.2,6.05,0.63,59,0.2
Coleman,8,Defender,4.3,0.0,0.62,0.01,3,0.0
Gana,8,Midfielder,4.8,0.6,0.97,1.04,58,2.2
Garner,8,Midfielder,4.9,0.0,0.09,0.64,17,2.5
Harrison,8,Midfielder,5.2,0.1,2.37,1.5,39,1.2
Holgate,8,Defender,4.0,0.2,0.0,0.0,1,0.0
Iroegbunam,8,Midfielder,4.3,0.6,0.23,0.13,14,1.5
J.Virginia,8,Goalkeeper,3.9,0.6,0.0,0.0,0,0.0
Keane,8,Defender,3.9,4.6,0.43,0.02,33,0.0
Maupay,8,Forward,4.9,0.2,0.0,0.0,0,0.0
McNeil,8,Midfielder,5.1,1.2,0.87,3.96,65,0.0
Mykolenko,8,Defender,4.4,8.7,0.39,1.2,74,3.8
Ndiaye,8,Forward,5.5,4.0,3.58,1.03,81,4.2
Patterson,8,Defender,4.4,0.0,0.07,0.3,7,0.5
Pickford,8,Goalkeeper,5.1,18.0,0.0,0.16,108,4.5
Tarkowski,8,Defender,4.8,2.9,1.06,1.93,88,6.5
Y. Chermiti,8,Forward,4.9,0.0,0.0,0.0,0,0.0
Young,8,Defender,4.6,2.5,0.27,1.47,79,1.8
Alcaraz,8,Midfielder,4.9,0.1,0.31,0.1,15,3.5
Lindstrøm,8,Midfielder,5.0,0.1,2.13,1.88,35,2.0
O'Brien,8,Defender,4.5,0.2,0.0,0.06,18,3.5
Armstrong,8,Midfielder,4.4,0.2,0.37,0.0,2,0.0
Metcalfe,8,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Begovic,8,Goalkeeper,4.0,0.2,0.0,0.0,0,0.0
Dixon,8,Defender,4.0,0.1,0.0,0.0,0,0.0
Mangala,8,Midfielder,5.0,0.0,1.13,0.59,39,0.8
Bates,8,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Sherif,8,Forward,4.5,0.1,0.0,0.0,0,0.0
Moyes,8,Unknown,0.5,13.9,0.0,0.0,49,12.2
Heath,8,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Coby Ebere,8,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Nelson,9,Midfielder,5.0,0.0,1.07,0.96,27,0.0
Smith Rowe,9,Midfielder,5.2,9.0,3.9,1.54,89,4.3
Andersen,9,Defender,4.2,3.8,0.36,0.31,34,1.7
Adama,9,Midfielder,4.6,1.7,3.65,3.6,63,3.0
Andreas,9,Midfielder,4.9,0.9,3.04,3.19,55,1.7
Bassey,9,Defender,4.5,0.5,0.99,0.24,58,4.0
Benda,9,Goalkeeper,3.9,0.4,0.0,0.0,0,0.0
Cairney,9,Midfielder,4.8,0.0,0.15,0.92,20,0.3
