Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form,Fixture Difficulty (Next 3)
Lukaku,Chelsea,Forward,6.3,0.2,0.0,0.0,0,0.0,3.0
M.Sarr,Chelsea,Defender,4.5,0.0,0.0,0.0,0,0.0,3.0
Madueke,Chelsea,Midfielder,6.1,3.9,7.58,2.23,100,4.0,3.0
Marc Guiu,Chelsea,Forward,4.7,0.5,0.0,0.02,3,0.3,3.0
Mudryk,Chelsea,Midfielder,6.1,0.2,0.24,0.66,7,0.0,3.0
N.Jackson,Chelsea,Forward,7.7,7.8,10.71,1.65,108,2.0,3.0
Nkunku,Chelsea,Midfielder,5.7,2.0,4.24,0.51,40,1.3,3.0
Palmer,Chelsea,Midfielder,11.2,61.9,11.98,7.01,175,3.3,3.0
Petrović,Chelsea,Goalkeeper,4.4,0.2,0.0,0.0,0,0.0,3.0
Renato Veiga,Chelsea,Midfielder,4.4,0.1,0.16,0.15,7,0.0,3.0
Sánchez,Chelsea,Goalkeeper,4.6,8.7,0.0,0.01,74,0.7,3.0
Tosin,Chelsea,Defender,4.2,0.3,0.79,0.11,32,0.7,3.0
W.Fofana,Chelsea,Defender,4.3,0.3,0.4,0.15,19,0.0,3.0
Sancho,Chelsea,Midfielder,6.2,1.0,1.5,2.25,59,1.7,3.0
Neto,Chelsea,Midfielder,6.2,0.6,1.28,2.09,49,3.3,3.0
Wiley,Chelsea,Defender,4.0,0.0,0.0,0.0,0,0.0,3.0
Jørgensen,Chelsea,Goalkeeper,4.2,0.4,0.0,0.0,10,1.7,3.0
João Félix,Chelsea,Midfielder,5.9,0.4,2.3,0.45,24,0.0,3.0
Rak-Sakyi,Chelsea,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.0
George,Chelsea,Midfielder,4.5,0.0,0.06,0.0,1,0.3,3.0
Acheampong,Chelsea,Defender,4.0,0.1,0.22,0.01,3,0.0,3.0
Maresca,Chelsea,Unknown,1.5,0.7,0.0,0.0,9,3.0,3.0
Amougou,Chelsea,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.0
Anselmino,Chelsea,Defender,4.0,0.0,0.0,0.0,0,0.0,3.0
Nketiah,Crystal Palace,Forward,5.9,0.5,1.85,0.52,27,0.7,3.0
Chilwell,Crystal Palace,Defender,4.6,0.5,0.05,0.25,1,0.3,3.0
Ahamada,Crystal Palace,Midfielder,4.5,0.1,0.0,0.0,0,0.0,3.0
C.Doucouré,Crystal Palace,Midfielder,4.9,0.0,0.4,0.11,19,0.0,3.0
C.Richards,Crystal Palace,Defender,4.4,0.2,0.36,0.09,35,2.7,3.0
Chadi Riad,Crystal Palace,Defender,4.3,0.0,0.0,0.02,1,0.0,3.0
Clyne,Crystal Palace,Defender,4.3,0.1,0.01,0.13,16,0.3,3.0
Ebiowei,Crystal Palace,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.0
Eze,Crystal Palace,Midfielder,6.7,7.6,4.98,2.97,75,1.3,3.0
Guéhi,Crystal Palace,Defender,4.6,8.6,1.5,1.09,89,3.7,3.0
Henderson,Crystal Palace,Goalkeeper,4.5,12.5,0.01,0.02,88,3.0,3.0
Holding,Crystal Palace,Defender,4.2,0.1,0.0,0.0,0,0.0,3.0
Hughes,Crystal Palace,Midfielder,4.9,0.1,0.82,1.81,48,2.0,3.0
Kamada,Crystal Palace,Midfielder,5.1,0.1,0.7,0.99,29,1.7,3.0
Lerma,Crystal Palace,Midfielder,4.8,0.0,0.78,1.29,32,2.0,3.0
Mateta,Crystal Palace,Forward,7.3,8.4,10.64,2.06,110,7.3,3.0
M.França,Crystal Palace,Midfielder,4.4,0.2,0.0,0.0,0,0.0,3.0
Matthews,Crystal Palace,Goalkeeper,3.9,0.6,0.0,0.0,0,0.0,3.0
Mitchell,Crystal Palace,Defender,4.8,1.9,0.63,2.89,79,2.7,3.0
Muñoz,Crystal Palace,Defender,4.8,7.7,3.53,2.27,89,5.3,3.0
Ozoh,Crystal Palace,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.0
Rak-Sakyi,Crystal Palace,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.0
Schlupp,Crystal Palace,Midfielder,4.6,0.1,0.17,0.14,12,0.0,3.0
