Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Expected Goal Involvement (xGI),Total Points,Form,Points per Million (PPM),Minutes per Game,Fixture Difficulty (Next 3),Differential Score
Pivas,Newcastle,Defender,4.0,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Osula,Newcastle,Forward,4.9,0.2,0.0,0.02,0.02,9,0.3,1.84,1.47,2.67,0.53
Alex Moreno,Nott'm Forest,Defender,4.2,0.4,0.17,0.82,0.99,31,0.0,7.38,1.0,2.33,1.06
Aina,Nott'm Forest,Defender,5.4,29.0,0.56,1.36,1.9200000000000002,109,2.7,20.19,53.78,2.33,0.28
Anderson,Nott'm Forest,Midfielder,5.0,0.3,1.11,2.82,3.9299999999999997,71,2.3,14.2,52.87,2.33,8.07
Awoniyi,Nott'm Forest,Forward,5.5,0.3,2.04,0.11,2.15,24,0.7,4.36,7.15,2.33,3.56
Boly,Nott'm Forest,Defender,4.2,0.1,0.07,0.0,0.07,5,0.3,1.19,7.86,2.33,0.64
Bowler,Nott'm Forest,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
C.Miguel,Nott'm Forest,Goalkeeper,4.1,0.2,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Da Silva Moreira,Nott'm Forest,Midfielder,4.4,0.1,0.0,0.0,0.0,2,0.0,0.45,1.0,2.33,0.0
Danilo,Nott'm Forest,Midfielder,4.7,0.0,0.0,0.0,0.0,6,1.7,1.28,39.67,2.33,3.4
Dennis,Nott'm Forest,Forward,4.9,0.2,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Dominguez,Nott'm Forest,Midfielder,4.8,0.0,1.22,0.89,2.11,27,0.7,5.62,28.93,2.33,4.56
Elanga,Nott'm Forest,Midfielder,5.3,6.6,2.64,3.43,6.07,94,5.7,17.74,93.69,2.33,2.7
Gibbs-White,Nott'm Forest,Midfielder,6.5,5.2,3.39,3.74,7.130000000000001,100,7.7,15.38,127.9,2.33,4.21
Hudson-Odoi,Nott'm Forest,Midfielder,5.2,1.0,2.02,1.9,3.92,71,0.3,13.65,6.54,2.33,3.24
Mighten,Nott'm Forest,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Murillo,Nott'm Forest,Defender,4.7,3.6,1.08,0.9,1.98,87,2.0,18.51,48.69,2.33,1.52
N.Williams,Nott'm Forest,Defender,4.4,2.2,1.6,0.53,2.13,68,4.7,15.45,98.01,2.33,3.94
O.Richards,Nott'm Forest,Defender,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
O'Brien,Nott'm Forest,Midfielder,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Omobamidele,Nott'm Forest,Defender,4.2,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Panzo,Nott'm Forest,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Sangaré,Nott'm Forest,Midfielder,4.3,1.1,0.02,0.06,0.08,9,1.7,2.09,46.66,2.33,1.68
Sels,Nott'm Forest,Goalkeeper,5.0,17.8,0.0,0.06,0.06,110,4.0,22.0,81.82,2.33,0.43
Toffolo,Nott'm Forest,Defender,4.2,0.1,0.02,0.01,0.03,3,0.0,0.71,1.0,2.33,0.04
Ui-jo,Nott'm Forest,Forward,4.5,0.8,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Wood,Nott'm Forest,Forward,7.1,44.7,10.31,0.38,10.690000000000001,163,9.3,22.96,114.34,2.33,0.76
Worrall,Nott'm Forest,Defender,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Yates,Nott'm Forest,Midfielder,4.8,0.1,1.74,0.4,2.14,46,0.3,9.58,9.46,2.33,3.46
Milenković,Nott'm Forest,Defender,4.8,8.1,3.1,0.53,3.63,93,2.3,19.38,53.42,2.33,1.1
Jota Silva,Nott'm Forest,Midfielder,5.9,0.1,1.01,1.81,2.8200000000000003,36,2.7,6.1,52.43,2.33,8.75
Sosa,Nott'm Forest,Midfielder,5.5,0.1,1.04,0.3,1.34,20,0.0,3.64,1.0,2.33,1.83
Morato,Nott'm Forest,Defender,4.5,0.1,0.1,0.02,0.12000000000000001,33,2.0,7.33,35.76,2.33,3.8
Abbott,Nott'm Forest,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Hennessey,Nott'm Forest,Goalkeeper,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.33,0.0
Ramsdale,Southampton,Goalkeeper,4.4,1.2,0.0,0.03,0.03,51,1.7,11.59,51.0,3.33,1.57
Archer,Southampton,Forward,5.0,1.4,4.75,0.53,5.28,41,0.7,8.2,17.77,3.33,3.88
Ugochukwu,Southampton,Midfielder,4.4,0.4,0.35,0.39,0.74,21,1.7,4.77,63.63,3.33,3.22
Fraser,Southampton,Midfielder,4.8,0.0,0.02,0.1,0.12000000000000001,7,0.3,1.46,12.99,3.33,0.78
Amo-Ameyaw,Southampton,Midfielder,4.4,0.1,0.02,0.13,0.15,1,0.0,0.23,1.0,3.33,0.2
Aribo,Southampton,Midfielder,4.9,0.1,2.54,1.16,3.7,60,5.0,12.24,128.67,3.33,14.14
Armstrong,Southampton,Forward,5.1,0.8,3.28,0.56,3.84,45,0.3,8.82,8.31,3.33,3.53
Bazunu,Southampton,Goalkeeper,4.3,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
Bednarek,Southampton,Defender,4.0,3.1,0.65,0.78,1.4300000000000002,45,3.0,11.25,124.8,3.33,1.99
Bella-Kotchap,Southampton,Defender,3.9,0.4,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
Bree,Southampton,Defender,3.9,0.5,0.11,0.53,0.64,15,2.3,3.85,115.15,3.33,3.71
Charles,Southampton,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.33,0.0
Edozie,Southampton,Midfielder,4.9,0.0,0.0,0.15,0.15,1,0.0,0.2,1.0,3.33,0.22
Edwards,Southampton,Defender,3.9,0.3,0.0,0.0,0.0,1,0.0,0.26,1.0,3.33,0.0
Harwood-Bellis,Southampton,Defender,4.0,6.4,1.55,0.5,2.05,39,0.7,9.75,33.99,3.33,0.6
